"Reported_Date","Header_From","SPF_Authentication_Domain","DKIM_Authentication_Domain","Email_Provider",Domain,"IP_Address","Host_Details",Score,"State_of_IP",Owner,"Email_Volume","DMARC_Pass_Fail","SPF_Authentication","SPF_Alignment","SPF_Policy","DKIM_Authentication","DKIM_Alignment","DKIM_Policy","Policy_evaluated_Disposition","Reason_Comment","Reason_Type"
"02/02/2023 00:00:00","randstad.in","randstad.in","randstad.in","google.com","randstad.in","103.137.165.120","zenotech.icewarpcloud.in",,,,1,0,0,0,0,0,0,0,none,"looks forwarded, not quarantined for dmarc",forwarded
"02/07/2023 00:00:00","randstad.in","randstad.in","randstad.in","google.com","randstad.in","103.137.165.120","zenotech.icewarpcloud.in",,,,1,0,0,0,0,0,0,0,none,NA,"sampled_out"
"02/05/2023 00:00:00","randstad.in","bf06x.hubspotemail.net","bf06x.hubspotemail.net randstad.in","google.com","randstad.in","103.137.165.166","a2zcontrolindia.icewarpcloud.in",,,,6,1,0,0,0,1,1,1,none,NA,NA
"02/07/2023 00:00:00","randstad.in","bf06x.hubspotemail.net","bf06x.hubspotemail.net randstad.in","google.com","randstad.in","103.137.165.166","a2zcontrolindia.icewarpcloud.in",,,,6,1,0,0,0,1,1,1,none,NA,NA
"02/05/2023 00:00:00","randstad.in","randstad.in",NA,"google.com","randstad.in","103.14.12.131","103-14-12-131.c1.ptr.chiroro.ne.jp",,,,1,0,0,0,0,0,0,0,none,NA,"sampled_out"
"02/06/2023 00:00:00","randstad.in","randstad.in",NA,"google.com","randstad.in","103.14.12.131","103-14-12-131.c1.ptr.chiroro.ne.jp",,,,2,0,0,0,0,0,0,0,none,NA,"sampled_out"
"02/06/2023 00:00:00","randstad.in","randstad.in","chroasia.org randstad.in","google.com","randstad.in","103.14.99.210","funnjoy.mirackle.com",,,,2,1,0,0,0,1,1,1,none,NA,NA
"02/05/2023 00:00:00","randstad.in","bf06x.hubspotemail.net","bf06x.hubspotemail.net randstad.in vkgroupindia.com","google.com","randstad.in","103.14.99.60","cloud.mccoyindia.in",,,,1,1,0,0,0,1,1,1,none,NA,NA
"02/07/2023 00:00:00","randstad.in","bf06x.hubspotemail.net","bf06x.hubspotemail.net randstad.in vkgroupindia.com","google.com","randstad.in","103.14.99.60","cloud.mccoyindia.in",,,,1,1,0,0,0,1,1,1,none,NA,NA
"02/06/2023 00:00:00","randstad.in","randstad.in","randstad.in shivamsrivastava.com","google.com","randstad.in","103.152.79.221","servers.moonnameserver.com",,,,1,1,0,0,0,1,1,1,none,NA,NA
"02/05/2023 00:00:00","randstad.in","techleadconsultants.com","bf06x.hubspotemail.net randstad.in","google.com","randstad.in","103.159.84.161","server101.hostcats.com",,,,1,1,1,0,0,1,1,1,none,NA,NA
"02/07/2023 00:00:00","randstad.in","techleadconsultants.com","bf06x.hubspotemail.net randstad.in","google.com","randstad.in","103.159.84.161","server101.hostcats.com",,,,1,1,1,0,0,1,1,1,none,NA,NA
"02/07/2023 00:00:00","randstad.in","randstad.in","randstad.in","google.com","randstad.in","103.161.42.27","in-mum-m54.icewarpcloud.in",,,,6,1,0,0,0,1,1,1,none,NA,NA
"02/05/2023 00:00:00","randstad.in","bf06x.hubspotemail.net","bf06x.hubspotemail.net randstad.in","google.com","randstad.in","103.161.42.79","in-mum-m16.icewarpcloud.in",,,,1,1,0,0,0,1,1,1,none,NA,NA
"02/07/2023 00:00:00","randstad.in","bf06x.hubspotemail.net","bf06x.hubspotemail.net randstad.in","google.com","randstad.in","103.161.42.79","in-mum-m16.icewarpcloud.in",,,,1,1,0,0,0,1,1,1,none,NA,NA
