"Reported_Date","Header_From","SPF_Authentication_Domain","DKIM_Authentication_Domain","Email_Provider",Domain,"IP_Address","Host_Details",Score,"State_of_IP",Owner,"Email_Volume","DMARC_Pass_Fail","SPF_Authentication","SPF_Alignment","SPF_Policy","DKIM_Authentication","DKIM_Alignment","DKIM_Policy","Policy_evaluated_Disposition","Reason_Comment","Reason_Type"
"02/01/2023 23:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net","wp.pl","randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net",Yahoo,"randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net",Yahoo,"randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net",Yahoo,"randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,2,0,1,0,0,1,0,0,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net",Yahoo,"randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,2,0,1,0,0,1,0,0,none,NA,NA
"02/05/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net",Yahoo,"randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,2,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net","google.com","randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,25,0,1,0,0,1,0,0,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net","google.com","randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,30,0,1,0,0,1,0,0,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net","google.com","randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,31,0,1,0,0,1,0,0,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net",Yahoo,"randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,4,0,1,0,0,1,0,0,none,NA,NA
"02/04/2023 00:00:00","randstadsourceright.co.uk","sendgrid.net","sendgrid.net","google.com","randstadsourceright.co.uk","167.89.89.113","o1.em.safescreening.co.uk",,,,9,0,1,0,0,1,0,0,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","bounce.secureserver.net","randstadsourceright.co.uk","google.com","randstadsourceright.co.uk","173.201.193.54","p3plsmtp16-01-2.prod.phx3.secureserver.net",,,,1,1,1,0,0,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","179.6.47.133","IP not resolved",,,,2,0,0,0,0,0,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","185.254.37.237","IP not resolved",,,,3,0,0,0,0,0,0,0,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","185.254.37.237","IP not resolved",,,,3,0,0,0,0,0,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","190.107.228.47","ip-47-228-107-190.wom.cl",,,,6,0,0,0,0,0,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk",NA,"google.com","randstadsourceright.co.uk","190.171.116.17","rev17.116.nstelecablecr.com",,,,1,0,0,0,0,0,0,0,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","fdpremium.freshdesk.com","freshdesk.com","google.com","randstadsourceright.co.uk","198.37.146.47","o35.email.freshdesk.com",,,,2,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.130","ccm22.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.132","ccm24.constantcontact.com",,,,2,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.165","ccm165.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.172","ccm172.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.175","ccm175.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.176","ccm176.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.181","ccm181.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.198","ccm198.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.202","ccm202.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.229","ccm229.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.229","ccm229.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.232","ccm232.constantcontact.com",,,,2,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.233","ccm233.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.235","ccm235.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","in.constantcontact.com","auth.ccsend.com","google.com","randstadsourceright.co.uk","208.75.123.236","ccm236.constantcontact.com",,,,1,0,1,0,0,1,0,0,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.41","mail-wm1-f41.google.com",85,"79,1","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.41","mail-wm1-f41.google.com",85,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/03/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.41","mail-wm1-f41.google.com",85,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.42","mail-wm1-f42.google.com",85,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/02/2023 23:00:03","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk","esa4.hc344-38.eu.iphmx.com","randstadsourceright.co.uk","209.85.128.42","mail-wm1-f42.google.com",85,"79,1","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.43","mail-wm1-f43.google.com",86,"79,1","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/01/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.44","mail-wm1-f44.google.com",87,"80,0","GOOGLE,US",1,1,0,0,0,1,1,1,none,NA,NA
"02/02/2023 00:00:00","randstadsourceright.co.uk","randstadsourceright.co.uk","randstadsourceright.co.uk",Yahoo,"randstadsourceright.co.uk","209.85.128.44","mail-wm1-f44.google.com",87,"80,0","GOOGLE,US",1,1,1,1,1,1,1,1,none,NA,NA
